Barrio,Hombres,Adolescencia1,Adulto2,Adulto_mayor3,Infancia4,Juventud5,Primera_Infancia6,Mujeres,Adolescencia2,Adulto2,Adulto_mayor2,Infancia2,Juventud2,Primera_Infancia2,Total
Las Ferias,48183,2796,21613,8701,2571,8298,4204,52801,2895,23122,11809,2554,8341,4080,100984
Las Margaritas,15600,1538,7057,1197,1284,2816,1708,16790,1398,7867,1887,1263,2701,1674,32390
Las Nieves,8817,497,4026,1261,285,1909,839,8448,496,3576,1231,253,1866,1026,17265
Los Alcázares,23146,1041,10802,3807,980,4152,2364,22298,1052,9327,5080,921,3624,2294,45444
Los Andes,15097,868,6692,2898,592,2627,1420,17077,719,7650,4056,500,2874,1278,32174
Los Cedros,60458,2506,27483,14307,2258,8632,5272,76277,2570,33485,22753,2316,10130,5023,136735
Los Libertadores,38362,2953,14434,4489,2960,6948,6578,41157,2992,16251,5724,2694,7139,6357,79519
Lourdes,21638,1432,8353,2368,1626,4036,3823,23478,1482,9066,3077,1607,4042,4204,45116
Lucero,83155,6592,30701,9291,6733,14947,14891,81428,6218,30124,10693,6242,14180,13971,164583
Marco Fidel Suárez,22469,1598,8830,2984,1619,3853,3585,25286,1730,10082,3931,1574,4348,3621,47755
Marruecos,65369,4387,28604,6859,4032,12433,9054,58841,3961,24626,8275,3758,9980,8241,124210
Minuto de Dios,52276,3105,22609,9607,2929,9146,4880,58441,3260,24098,14388,2908,9105,4682,110717
Modelia,20672,1140,9209,4404,1003,3166,1750,24805,1142,11123,6405,949,3359,1827,45477
Monteblanco,3439,302,1257,322,315,575,668,3242,257,1171,364,264,563,623,6681
Muzú,28941,1707,12673,5035,1551,4881,3094,31359,1657,13409,7097,1521,4779,2896,60300
Niza,39366,2120,16567,9972,2004,5427,3276,46576,2107,20291,13660,1870,5567,3081,85942
Pardo Rubio,26940,1121,13800,3043,1099,4825,3052,27805,1099,13578,4129,1044,5093,2862,54745
Parque Entrenubes,628,63,213,53,64,101,134,569,59,203,45,52,87,123,1197
Parque Salitre,803,35,405,119,45,117,82,662,25,309,145,20,76,87,1465
Parque Simón Bolívar CAN,1568,96,748,316,31,270,107,1732,65,811,471,37,248,100,3300
Paseo de Los Libertadores,1320,109,540,165,75,247,184,1395,84,619,194,91,247,160,2715
Patio Bonito,69159,5135,28123,7290,4941,14864,8806,68565,5120,27738,8475,4902,13743,8587,137724
Puente Aranda,10155,625,4969,741,161,3312,347,2527,149,1064,425,139,469,281,12682
Quinta Paredes,11605,468,5319,2300,392,2018,1108,17112,639,8315,3838,533,2668,1119,28717
Quiroga,44770,2961,18094,7791,2755,7413,5756,49017,2765,20306,10037,2516,7768,5625,93787
Restrepo,26627,1585,10680,4224,1482,4360,4296,30975,1832,12776,5662,1513,5147,4045,57602
Sagrado Corazón,5585,209,2983,724,126,1019,524,5776,200,2870,872,165,1081,588,11361
San Blas,50739,3785,19925,6204,3626,9149,8050,55190,3801,22440,8195,3547,9312,7895,105929
San Cristóbal Norte,34887,2301,14386,4396,2453,6532,4819,38838,2313,16472,6519,2402,6425,4707,73725
San Francisco,36122,2630,14284,4660,2494,6596,5458,36386,2458,14409,5988,2375,6131,5025,72508
San Isidro - Patios,9040,579,3731,955,665,1434,1676,9092,563,3897,1082,631,1470,1449,18132
San José,23150,1515,9708,3907,1503,3692,2825,26193,1525,11246,5140,1369,4133,2780,49343
San José de Bavaria,24515,1472,10232,5145,1305,4335,2026,28238,1471,12295,6768,1267,4554,1883,52753
San Rafael,35997,2056,15804,6329,1997,5815,3996,38486,2018,16533,8247,1858,5994,3836,74483
Santa Bárbara,33902,1173,15497,8932,1085,4198,3017,41458,1238,18803,12389,1131,4918,2979,75360
Santa Cecilia,31742,1734,14132,6504,1551,5304,2517,35810,1742,15811,9026,1608,5185,2438,67552
Santa Isabel,17651,864,7521,2339,981,3474,2472,26502,1337,12189,4030,1365,4788,2793,44153
Sosiego,21686,1386,9289,3322,1231,3796,2662,23156,1370,9870,4382,1222,3668,2644,44842
Suba,88947,6142,40285,10954,5759,15625,10182,100699,5898,46633,17073,5411,15948,9736,189646
Teusaquillo,12151,428,5920,2208,339,2254,1002,16501,565,8098,3526,484,2782,1046,28652
Tibabuyes,150547,11102,62345,14127,11053,30919,21001,160186,11166,68334,19853,10768,30081,19984,310733
Timiza,67527,4555,29039,10751,4462,11859,6861,71840,4350,31197,14131,4206,11460,6496,139367
Tintál Norte,14484,1049,7052,1089,1087,2490,1717,16294,1033,8062,1996,1067,2483,1653,30778
Tintál Sur,54192,4771,22651,3603,4645,10227,8295,60971,4620,27895,5690,4376,10566,7824,115163
Toberín,29204,1754,12887,5140,1674,4618,3131,34541,1744,15432,7762,1594,5012,2997,63745
Tunjuelito,21103,1398,8341,2823,1336,3748,3457,20547,1326,8080,3350,1218,3322,3251,41650
Usaquén,20721,1496,8945,4134,1040,3081,2025,22940,973,10450,5517,953,3014,2033,43661
Venecia,70811,4471,28963,9632,4164,13108,10473,72031,4297,29591,12223,4020,11751,10149,142842
Verbenal,63172,4175,26807,6627,4515,11807,9241,70687,4424,31572,9396,4396,12173,8726,133859
Zona Franca,30562,2345,13958,2542,2043,5774,3900,35753,2411,16776,4277,2236,6184,3869,66315
Zona Industrial,3425,263,1401,420,245,638,458,3303,255,1396,460,198,560,434,6728
